
CommandType     Name                                               Version    Source
Function        Add-MgServicePrincipalKey                          2.32.0     Microsoft.Graph.Applications
Function        Add-MgServicePrincipalPassword                     2.31.0     Microsoft.Graph.Applications
Function        Add-MgServicePrincipalPassword                     2.30.0     Microsoft.Graph.Applications
Function        Add-MgServicePrincipalPassword                     2.32.0     Microsoft.Graph.Applications
Function        Add-MgServicePrincipalTokenSigningCertificate      2.31.0     Microsoft.Graph.Applications
Function        Add-MgServicePrincipalTokenSigningCertificate      2.30.0     Microsoft.Graph.Applications
Function        Add-MgServicePrincipalTokenSigningCertificate      2.32.0     Microsoft.Graph.Applications
Function        Add-MgShareListContentTypeCopy                     2.31.0     Microsoft.Graph.Files
Function        Add-MgShareListContentTypeCopy                     2.30.0     Microsoft.Graph.Files
Function        Add-MgShareListContentTypeCopy                     2.32.0     Microsoft.Graph.Files
Function        Add-MgShareListContentTypeCopyFromContentTypeHub   2.31.0     Microsoft.Graph.Files
Function        Add-MgShareListContentTypeCopyFromContentTypeHub   2.32.0     Microsoft.Graph.Files
Function        Add-MgShareListContentTypeCopyFromContentTypeHub   2.30.0     Microsoft.Graph.Files
Function        Add-MgSite                                         2.32.0     Microsoft.Graph.Sites
Function        Add-MgSite                                         2.30.0     Microsoft.Graph.Sites
Function        Add-MgSite                                         2.31.0     Microsoft.Graph.Sites
Function        Add-MgSiteContentTypeCopy                          2.32.0     Microsoft.Graph.Sites
Function        Add-MgSiteContentTypeCopy                          2.30.0     Microsoft.Graph.Sites
Function        Add-MgSiteContentTypeCopy                          2.31.0     Microsoft.Graph.Sites
Function        Add-MgSiteContentTypeCopyFromContentTypeHub        2.32.0     Microsoft.Graph.Sites
Function        Add-MgSiteContentTypeCopyFromContentTypeHub        2.30.0     Microsoft.Graph.Sites
Function        Add-MgSiteContentTypeCopyFromContentTypeHub        2.31.0     Microsoft.Graph.Sites
Function        Add-MgSiteListContentTypeCopy                      2.31.0     Microsoft.Graph.Sites
Function        Add-MgSiteListContentTypeCopy                      2.30.0     Microsoft.Graph.Sites
Function        Add-MgSiteListContentTypeCopy                      2.32.0     Microsoft.Graph.Sites
Function        Add-MgSiteListContentTypeCopyFromContentTypeHub    2.30.0     Microsoft.Graph.Sites
Function        Add-MgSiteListContentTypeCopyFromContentTypeHub    2.32.0     Microsoft.Graph.Sites
Function        Add-MgSiteListContentTypeCopyFromContentTypeHub    2.31.0     Microsoft.Graph.Sites
Function        Add-MgTeamChannelAllMember                         2.31.0     Microsoft.Graph.Teams
Function        Add-MgTeamChannelAllMember                         2.30.0     Microsoft.Graph.Teams
Function        Add-MgTeamChannelAllMember                         2.32.0     Microsoft.Graph.Teams
Function        Add-MgTeamChannelMember                            2.32.0     Microsoft.Graph.Teams
Function        Add-MgTeamChannelMember                            2.31.0     Microsoft.Graph.Teams
Function        Add-MgTeamChannelMember                            2.30.0     Microsoft.Graph.Teams
Function        Add-MgTeamMember                                   2.31.0     Microsoft.Graph.Teams
Function        Add-MgTeamMember                                   2.30.0     Microsoft.Graph.Teams
Function        Add-MgTeamMember                                   2.32.0     Microsoft.Graph.Teams
Function        Add-MgTeamPrimaryChannelAllMember                  2.32.0     Microsoft.Graph.Teams
Function        Add-MgTeamPrimaryChannelAllMember                  2.30.0     Microsoft.Graph.Teams
Function        Add-MgTeamPrimaryChannelAllMember                  2.31.0     Microsoft.Graph.Teams
Function        Add-MgTeamPrimaryChannelMember                     2.31.0     Microsoft.Graph.Teams
Function        Add-MgTeamPrimaryChannelMember                     2.30.0     Microsoft.Graph.Teams
Function        Add-MgTeamPrimaryChannelMember                     2.32.0     Microsoft.Graph.Teams
Function        Add-MgTeamworkDeletedTeamChannelAllMember          2.31.0     Microsoft.Graph.Teams
Function        Add-MgTeamworkDeletedTeamChannelAllMember          2.30.0     Microsoft.Graph.Teams
Function        Add-MgTeamworkDeletedTeamChannelAllMember          2.32.0     Microsoft.Graph.Teams
Function        Add-MgTeamworkDeletedTeamChannelMember             2.31.0     Microsoft.Graph.Teams
Function        Add-MgTeamworkDeletedTeamChannelMember             2.30.0     Microsoft.Graph.Teams
Function        Add-MgTeamworkDeletedTeamChannelMember             2.32.0     Microsoft.Graph.Teams
Function        Add-MgUserChatMember                               2.32.0     Microsoft.Graph.Teams
Function        Add-MgUserChatMember                               2.31.0     Microsoft.Graph.Teams
Function        Add-MgUserChatMember                               2.30.0     Microsoft.Graph.Teams
Function        Add-MgUserDriveListContentTypeCopy                 2.30.0     Microsoft.Graph.Files
Function        Add-MgUserDriveListContentTypeCopy                 2.32.0     Microsoft.Graph.Files
Function        Add-MgUserDriveListContentTypeCopy                 2.31.0     Microsoft.Graph.Files
Function        Add-MgUserDriveListContentTypeCopyFromContentType… 2.31.0     Microsoft.Graph.Files
Function        Add-MgUserDriveListContentTypeCopyFromContentType… 2.30.0     Microsoft.Graph.Files
Function        Add-MgUserDriveListContentTypeCopyFromContentType… 2.32.0     Microsoft.Graph.Files
Function        Add-MgUserFollowedSite                             2.31.0     Microsoft.Graph.Sites
Function        Add-MgUserFollowedSite                             2.30.0     Microsoft.Graph.Sites
Function        Add-MgUserFollowedSite                             2.32.0     Microsoft.Graph.Sites
Function        Add-MpPreference                                   1.0        ConfigDefender
Function        Add-MpPreference                                   1.0        Defender
Alias           Add-MsixPackage                                    2.0.1.0    Appx
Alias           Add-MsixPackageVolume                              2.0.1.0    Appx
Alias           Add-MsixVolume                                     2.0.1.0    Appx
Function        Add-NetEventNetworkAdapter                         1.0.0.0    NetEventPacketCapture
Function        Add-NetEventPacketCaptureProvider                  1.0.0.0    NetEventPacketCapture
Function        Add-NetEventProvider                               1.0.0.0    NetEventPacketCapture
Function        Add-NetEventVFPProvider                            1.0.0.0    NetEventPacketCapture
Function        Add-NetEventVmNetworkAdapter                       1.0.0.0    NetEventPacketCapture
Function        Add-NetEventVmSwitch                               1.0.0.0    NetEventPacketCapture
Function        Add-NetEventVmSwitchProvider                       1.0.0.0    NetEventPacketCapture
Function        Add-NetEventWFPCaptureProvider                     1.0.0.0    NetEventPacketCapture
Function        Add-NetIPHttpsCertBinding                          1.0.0.0    NetworkTransition
Function        Add-NetLbfoTeamMember                              2.0.0.0    NetLbfo
Function        Add-NetLbfoTeamNic                                 2.0.0.0    NetLbfo
Function        Add-NetNatExternalAddress                          1.0.0.0    NetNat
Function        Add-NetNatStaticMapping                            1.0.0.0    NetNat
Function        Add-NetSwitchTeamMember                            1.0.0.0    NetSwitchTeam
Function        Add-OdbcDsn                                        1.0.0.0    Wdac
Function        Add-PartitionAccessPath                            2.0.0.0    Storage
Function        Add-PhysicalDisk                                   2.0.0.0    Storage
Cmdlet          Add-PnPAdaptiveScopeProperty                       3.1.0      PnP.PowerShell
Cmdlet          Add-PnPAlert                                       3.1.0      PnP.PowerShell
Cmdlet          Add-PnPApp                                         3.1.0      PnP.PowerShell
Cmdlet          Add-PnPApplicationCustomizer                       3.1.0      PnP.PowerShell
Cmdlet          Add-PnPAvailableSiteClassification                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPAzureADGroupMember                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPAzureADGroupOwner                           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPAzureADServicePrincipalAppRole              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPBrandCenterFont                             3.1.0      PnP.PowerShell
Cmdlet          Add-PnPContentType                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPContentTypesFromContentTypeHub              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPContentTypeToDocumentSet                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPContentTypeToList                           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPCustomAction                                3.1.0      PnP.PowerShell
Cmdlet          Add-PnPDataRowsToSiteTemplate                      3.1.0      PnP.PowerShell
Cmdlet          Add-PnPDocumentSet                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPEntraIDGroupMember                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPEntraIDGroupOwner                           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPEntraIDServicePrincipalAppRole              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPEventReceiver                               3.1.0      PnP.PowerShell
Cmdlet          Add-PnPField                                       3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFieldFromXml                                3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFieldToContentType                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFile                                        3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFileAnonymousSharingLink                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFileOrganizationalSharingLink               3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFileSensitivityLabel                        3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFileSharingInvite                           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFileToSiteTemplate                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFileUserSharingLink                         3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFlowOwner                                   3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFolder                                      3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFolderAnonymousSharingLink                  3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFolderOrganizationalSharingLink             3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFolderSharingInvite                         3.1.0      PnP.PowerShell
Cmdlet          Add-PnPFolderUserSharingLink                       3.1.0      PnP.PowerShell
Cmdlet          Add-PnPGroupMember                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPHomeSite                                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPHtmlPublishingPageLayout                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPHubSiteAssociation                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPHubToHubAssociation                         3.1.0      PnP.PowerShell
Cmdlet          Add-PnPIndexedProperty                             3.1.0      PnP.PowerShell
Cmdlet          Add-PnPJavaScriptBlock                             3.1.0      PnP.PowerShell
Cmdlet          Add-PnPJavaScriptLink                              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPListDesign                                  3.1.0      PnP.PowerShell
Cmdlet          Add-PnPListFoldersToSiteTemplate                   3.1.0      PnP.PowerShell
Cmdlet          Add-PnPListItem                                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPListItemAttachment                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPListItemComment                             3.1.0      PnP.PowerShell
Cmdlet          Add-PnPMasterPage                                  3.1.0      PnP.PowerShell
Cmdlet          Add-PnPMicrosoft365GroupMember                     3.1.0      PnP.PowerShell
Cmdlet          Add-PnPMicrosoft365GroupOwner                      3.1.0      PnP.PowerShell
Cmdlet          Add-PnPMicrosoft365GroupToSite                     3.1.0      PnP.PowerShell
Cmdlet          Add-PnPNavigationNode                              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPOrgAssetsLibrary                            3.1.0      PnP.PowerShell
Cmdlet          Add-PnPOrgNewsSite                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPage                                        3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPageImageWebPart                            3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPageSection                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPageTextPart                                3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPageWebPart                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPlannerBucket                               3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPlannerRoster                               3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPlannerRosterMember                         3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPlannerTask                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPropertyBagValue                            3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPublishingImageRendition                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPublishingPage                              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPPublishingPageLayout                        3.1.0      PnP.PowerShell
Cmdlet          Add-PnPRoleDefinition                              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteClassification                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteCollectionAdmin                         3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteCollectionAppCatalog                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteDesign                                  3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteDesignFromWeb                           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteDesignTask                              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteScript                                  3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteScriptPackage                           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPSiteTemplate                                3.1.0      PnP.PowerShell
Cmdlet          Add-PnPStoredCredential                            3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTaxonomyField                               3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTeamsChannel                                3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTeamsChannelUser                            3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTeamsTab                                    3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTeamsTeam                                   3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTeamsUser                                   3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTenantCdnOrigin                             3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTenantRestrictedSearchAllowedList           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTenantSequence                              3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTenantSequenceSite                          3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTenantSequenceSubSite                       3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTenantTheme                                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPTermToTerm                                  3.1.0      PnP.PowerShell
Cmdlet          Add-PnPView                                        3.1.0      PnP.PowerShell
Cmdlet          Add-PnPViewsFromXML                                3.1.0      PnP.PowerShell
Cmdlet          Add-PnPVivaConnectionsDashboardACE                 3.1.0      PnP.PowerShell
Cmdlet          Add-PnPWebhookSubscription                         3.1.0      PnP.PowerShell
Cmdlet          Add-PnPWebPartToWebPartPage                        3.1.0      PnP.PowerShell
Cmdlet          Add-PnPWebPartToWikiPage                           3.1.0      PnP.PowerShell
Cmdlet          Add-PnPWikiPage                                    3.1.0      PnP.PowerShell
Function        Add-Printer                                        1.1        PrintManagement
Function        Add-PrinterDriver                                  1.1        PrintManagement
Function        Add-PrinterPort                                    1.1        PrintManagement
Alias           Add-ProvisionedAppPackage                          3.0        Dism
Alias           Add-ProvisionedAppSharedPackageContainer           3.0        Dism
Alias           Add-ProvisionedAppxPackage                         3.0        Dism
Alias           Add-ProvisioningPackage                            3.0        Provisioning
Cmdlet          Add-RoleMember                                     22.4.5.1   SqlServer
Cmdlet          Add-SignerRule                                     1.0        ConfigCI
Cmdlet          Add-SqlAvailabilityDatabase                        22.4.5.1   SqlServer
Cmdlet          Add-SqlAvailabilityGroupListenerStaticIp           22.4.5.1   SqlServer
